Date,Close,High,Low,Open,Volume
2016-10-13 15:49:00,116.63,116.6399,116.57,116.58,73642
2016-10-13 15:50:00,116.68,116.73,116.63,116.64,100930
2016-10-13 15:51:00,116.65,116.69,116.63,116.6864,50557
2016-10-13 15:52:00,116.62,116.69,116.62,116.6566,42877
2016-10-13 15:53:00,116.67,116.6841,116.61,116.62,84391
2016-10-13 15:54:00,116.63,116.71,116.61,116.674,72388
2016-10-13 15:55:00,116.645,116.66,116.61,116.63,27212
2016-10-13 15:56:00,116.591,116.65,116.591,116.645,49882
2016-10-13 15:57:00,116.6201,116.6201,116.57,116.5901,52691
2016-10-13 15:58:00,116.6499,116.69,116.615,116.63,57946
2016-10-13 15:59:00,116.6,116.68,116.591,116.65,25459
2016-10-13 16:00:00,116.6,116.63,116.58,116.59,32790
2016-10-13 16:01:00,116.5701,116.61,116.5662,116.58,53931
2016-10-13 16:02:00,116.55,116.59,116.52,116.57,105866
2016-10-13 16:03:00,116.554,116.56,116.54,116.54,82752
2016-10-13 16:04:00,116.5,116.56,116.49,116.55,84421
2016-10-13 16:05:00,116.48,116.5,116.45,116.5,70969
2016-10-13 16:06:00,116.54,116.545,116.48,116.4841,36259
2016-10-13 16:07:00,116.67,116.68,116.53,116.5462,94600
2016-10-13 16:08:00,116.638,116.68,116.62,116.66,31052
2016-10-13 16:09:00,116.625,116.644,116.57,116.63,39462
2016-10-13 16:10:00,116.65,116.655,116.6,116.63,34823
2016-10-13 16:11:00,116.68,116.69,116.65,116.65,27151
2016-10-13 16:12:00,116.69,116.7,116.66,116.681,57454
2016-10-13 16:13:00,116.69,116.72,116.665,116.6873,58586
2016-10-13 16:14:00,116.62,116.705,116.62,116.69,67948
2016-10-13 16:15:00,116.65,116.67,116.61,116.621,34317
2016-10-13 16:16:00,116.665,116.7,116.64,116.6437,31823
2016-10-13 16:17:00,116.65,116.68,116.64,116.67,28805
2016-10-13 16:18:00,116.64,116.68,116.64,116.6401,34974
2016-10-13 16:19:00,116.66,116.67,116.615,116.64,24260
2016-10-13 16:20:00,116.63,116.66,116.62,116.66,28019
2016-10-13 16:21:00,116.63,116.66,116.61,116.63,57922
2016-10-13 16:22:00,116.605,116.65,116.5604,116.64,38109
2016-10-13 16:23:00,116.61,116.62,116.57,116.6,43878
2016-10-13 16:24:00,116.58,116.66,116.5601,116.61,47844
2016-10-13 16:25:00,116.6499,116.66,116.585,116.59,45601
2016-10-13 16:26:00,116.59,116.65,116.5641,116.65,57768
2016-10-13 16:27:00,116.5999,116.61,116.57,116.5908,37798
2016-10-13 16:28:00,116.63,116.6399,116.57,116.59,46542
2016-10-13 16:29:00,116.64,116.6697,116.61,116.6345,27350
2016-10-13 16:30:00,116.61,116.69,116.61,116.64,28728
2016-10-13 16:31:00,116.66,116.67,116.6,116.61,38538
2016-10-13 16:32:00,116.62,116.6748,116.62,116.65,24566
2016-10-13 16:33:00,116.67,116.68,116.6,116.62,45514
2016-10-13 16:34:00,116.665,116.71,116.65,116.6799,57998
2016-10-13 16:35:00,116.67,116.7,116.64,116.67,30699
2016-10-13 16:36:00,116.67,116.71,116.67,116.68,25507
2016-10-13 16:37:00,116.82,116.85,116.67,116.679,99613
2016-10-13 16:38:00,116.8,116.84,116.775,116.82,75100
2016-10-13 16:39:00,116.86,116.93,116.8,116.8,112039
2016-10-13 16:40:00,116.8394,116.9099,116.83,116.85,79707
2016-10-13 16:41:00,116.85,116.9,116.83,116.83,105095
2016-10-13 16:42:00,116.83,116.88,116.825,116.85,57342
2016-10-13 16:43:00,116.8238,116.85,116.8025,116.83,50882
2016-10-13 16:44:00,116.83,116.87,116.8,116.825,51278
2016-10-13 16:45:00,116.79,116.85,116.78,116.83,61141
2016-10-13 16:46:00,116.83,116.85,116.8,116.8,36268
2016-10-13 16:47:00,116.81,116.8306,116.8,116.83,38096
2016-10-13 16:48:00,116.78,116.8141,116.76,116.81,38644
2016-10-13 16:49:00,116.78,116.79,116.75,116.7865,48347
2016-10-13 16:50:00,116.78,116.81,116.74,116.76,57217
2016-10-13 16:51:00,116.7099,116.78,116.69,116.78,47992
2016-10-13 16:52:00,116.74,116.74,116.67,116.7094,57201
2016-10-13 16:53:00,116.67,116.735,116.66,116.73,30741
2016-10-13 16:54:00,116.67,116.685,116.65,116.67,32515
2016-10-13 16:55:00,116.69,116.7,116.65,116.665,31149
2016-10-13 16:56:00,116.73,116.73,116.69,116.69,20303
2016-10-13 16:57:00,116.7499,116.76,116.7138,116.73,53111
2016-10-13 16:58:00,116.75,116.77,116.74,116.746,28731
2016-10-13 16:59:00,116.72,116.77,116.71,116.75,60101
2016-10-13 17:00:00,116.73,116.74,116.71,116.72,19510
2016-10-13 17:01:00,116.661,116.7445,116.66,116.7441,24026
2016-10-13 17:02:00,116.665,116.7,116.6301,116.6666,49879
2016-10-13 17:03:00,116.6601,116.679,116.64,116.66,21728
2016-10-13 17:04:00,116.6147,116.67,116.6147,116.66,17424
2016-10-13 17:05:00,116.67,116.69,116.62,116.62,37042
2016-10-13 17:06:00,116.7,116.71,116.6401,116.67,45647
2016-10-13 17:07:00,116.64,116.705,116.64,116.7,31172
2016-10-13 17:08:00,116.69,116.7,116.65,116.65,21340
2016-10-13 17:09:00,116.71,116.72,116.6702,116.69,21098
2016-10-13 17:10:00,116.705,116.72,116.66,116.71,31038
2016-10-13 17:11:00,116.65,116.7,116.65,116.7,46168
2016-10-13 17:12:00,116.6638,116.69,116.651,116.651,30372
2016-10-13 17:13:00,116.63,116.6753,116.63,116.66,22366
2016-10-13 17:14:00,116.67,116.67,116.59,116.63,87972
2016-10-13 17:15:00,116.65,116.67,116.605,116.67,25758
2016-10-13 17:16:00,116.67,116.68,116.64,116.65,36983
2016-10-13 17:17:00,116.68,116.69,116.63,116.67,45097
2016-10-13 17:18:00,116.6246,116.69,116.61,116.69,26236
2016-10-13 17:19:00,116.6,116.64,116.56,116.63,77507
2016-10-13 17:20:00,116.55,116.605,116.5441,116.6,33725
2016-10-13 17:21:00,116.55,116.59,116.5107,116.5428,37252
2016-10-13 17:22:00,116.61,116.61,116.52,116.55,52596
2016-10-13 17:23:00,116.59,116.61,116.56,116.61,31671
2016-10-13 17:24:00,116.65,116.6528,116.56,116.6,103930
2016-10-13 17:25:00,116.58,116.66,116.56,116.655,36800
2016-10-13 17:26:00,116.5405,116.58,116.5405,116.58,31145
2016-10-13 17:27:00,116.571,116.63,116.55,116.55,40976
2016-10-13 17:28:00,116.6535,116.6765,116.58,116.58,90412
2016-10-13 17:29:00,116.6401,116.685,116.63,116.66,17286
2016-10-13 17:30:00,116.6501,116.66,116.64,116.65,10905
2016-10-13 17:31:00,116.67,116.6841,116.65,116.65,17895
2016-10-13 17:32:00,116.66,116.68,116.63,116.68,45083
2016-10-13 17:33:00,116.57,116.68,116.57,116.66,29921
2016-10-13 17:34:00,116.5994,116.64,116.58,116.58,35534
2016-10-13 17:35:00,116.61,116.61,116.57,116.6,23043
2016-10-13 17:36:00,116.58,116.62,116.57,116.6,17736
2016-10-13 17:37:00,116.56,116.58,116.53,116.58,42149
2016-10-13 17:38:00,116.56,116.58,116.55,116.56,23567
2016-10-13 17:39:00,116.57,116.58,116.53,116.55,25601
2016-10-13 17:40:00,116.595,116.6,116.56,116.576,19855
2016-10-13 17:41:00,116.575,116.61,116.565,116.595,21282
2016-10-13 17:42:00,116.6,116.64,116.57,116.58,34584
2016-10-13 17:43:00,116.58,116.59,116.55,116.59,22250
2016-10-13 17:44:00,116.61,116.61,116.57,116.59,10059
2016-10-13 17:45:00,116.6,116.61,116.57,116.61,26259
2016-10-13 17:46:00,116.565,116.59,116.56,116.59,16287
2016-10-13 17:47:00,116.555,116.585,116.55,116.57,22859
2016-10-13 17:48:00,116.5686,116.57,116.5537,116.5537,12072
2016-10-13 17:49:00,116.575,116.58,116.5635,116.57,15650
2016-10-13 17:50:00,116.59,116.615,116.571,116.571,17695
2016-10-13 17:51:00,116.6755,116.69,116.59,116.59,94769
2016-10-13 17:52:00,116.74,116.74,116.68,116.68,50421
2016-10-13 17:53:00,116.77,116.77,116.72,116.74,60995
2016-10-13 17:54:00,116.78,116.81,116.75,116.77,144860
2016-10-13 17:55:00,116.7946,116.7959,116.77,116.78,33485
2016-10-13 17:56:00,116.85,116.85,116.794,116.794,77060
2016-10-13 17:57:00,116.86,116.91,116.84,116.85,100296
2016-10-13 17:58:00,116.9103,116.94,116.86,116.87,58555
2016-10-13 17:59:00,116.955,116.98,116.9,116.9111,70442
2016-10-13 18:00:00,116.99,117.02,116.955,116.9556,142808
2016-10-13 18:01:00,116.96,117.01,116.92,116.99,160634
2016-10-13 18:02:00,117.01,117.0363,116.951,116.96,76490
2016-10-13 18:03:00,116.9707,117.02,116.97,117.02,83025
2016-10-13 18:04:00,117.0,117.01,116.96,116.976,67358
2016-10-13 18:05:00,117.0,117.02,116.93,117.01,78434
2016-10-13 18:06:00,116.95,117.01,116.93,117.0,79170
2016-10-13 18:07:00,116.9838,116.99,116.95,116.956,74942
2016-10-13 18:08:00,117.01,117.0171,116.985,116.99,72694
2016-10-13 18:09:00,117.0199,117.02,117.0,117.0144,71994
2016-10-13 18:10:00,117.0052,117.025,116.99,117.02,64857
2016-10-13 18:11:00,117.0,117.02,116.99,117.01,72771
2016-10-13 18:12:00,117.0,117.02,116.985,117.0,40174
2016-10-13 18:13:00,116.99,117.02,116.96,117.0,39879
2016-10-13 18:14:00,116.9331,116.996,116.9331,116.99,37945
2016-10-13 18:15:00,116.92,116.931,116.89,116.93,58604
2016-10-13 18:16:00,116.9,116.94,116.89,116.93,31730
2016-10-13 18:17:00,116.92,116.9305,116.89,116.91,50937
2016-10-13 18:18:00,116.83,116.917,116.814,116.917,59167
2016-10-13 18:19:00,116.85,116.87,116.83,116.83,20012
2016-10-13 18:20:00,116.8382,116.86,116.83,116.84,19399
2016-10-13 18:21:00,116.92,116.93,116.84,116.85,51822
2016-10-13 18:22:00,116.9266,116.93,116.89,116.9265,30788
2016-10-13 18:23:00,116.9399,116.96,116.92,116.925,31698
2016-10-13 18:24:00,117.0,117.01,116.93,116.94,83112
2016-10-13 18:25:00,117.0048,117.0159,116.99,117.0011,52729
2016-10-13 18:26:00,117.009,117.03,117.0,117.0035,31587
2016-10-13 18:27:00,117.0599,117.06,117.0,117.01,50963
2016-10-13 18:28:00,117.0057,117.06,117.0,117.05,46416
2016-10-13 18:29:00,117.0,117.03,116.99,117.01,68580
2016-10-13 18:30:00,117.0401,117.05,117.0,117.01,37647
2016-10-13 18:31:00,117.08,117.09,117.0269,117.04,60583
2016-10-13 18:32:00,117.0435,117.12,117.04,117.09,75971
2016-10-13 18:33:00,117.0299,117.06,117.02,117.05,39342
2016-10-13 18:34:00,117.06,117.06,117.01,117.03,37925
2016-10-13 18:35:00,117.12,117.12,117.0399,117.06,72040
2016-10-13 18:36:00,117.15,117.16,117.11,117.11,81873
2016-10-13 18:37:00,117.16,117.1965,117.12,117.1458,130275
2016-10-13 18:38:00,117.1586,117.16,117.13,117.156,53585
2016-10-13 18:39:00,117.15,117.16,117.12,117.15,32356
2016-10-13 18:40:00,117.14,117.15,117.1201,117.15,27561
2016-10-13 18:41:00,117.11,117.15,117.1035,117.14,32194
2016-10-13 18:42:00,117.12,117.14,117.08,117.1001,43053
2016-10-13 18:43:00,117.12,117.15,117.1004,117.1141,48297
2016-10-13 18:44:00,117.11,117.1286,117.08,117.1286,31900
2016-10-13 18:45:00,117.14,117.15,117.09,117.115,29279
2016-10-13 18:46:00,117.13,117.15,117.11,117.14,31914
2016-10-13 18:47:00,117.09,117.13,117.065,117.12,49282
2016-10-13 18:48:00,117.09,117.15,117.08,117.1,65599
2016-10-13 18:49:00,117.13,117.1396,117.075,117.08,36281
2016-10-13 18:50:00,117.14,117.15,117.11,117.1333,24872
2016-10-13 18:51:00,117.159,117.175,117.14,117.1453,61753
2016-10-13 18:52:00,117.05,117.1559,117.05,117.15,86930
2016-10-13 18:53:00,117.04,117.06,117.01,117.05,72893
2016-10-13 18:54:00,117.06,117.07,117.03,117.03,29688
2016-10-13 18:55:00,117.1216,117.15,117.07,117.07,59937
2016-10-13 18:56:00,117.1999,117.2,117.1234,117.1266,63943
2016-10-13 18:57:00,117.18,117.22,117.165,117.1901,102423
2016-10-13 18:58:00,117.17,117.19,117.14,117.1737,62573
2016-10-13 18:59:00,117.17,117.19,117.16,117.165,35313
2016-10-13 19:00:00,117.205,117.21,117.155,117.18,62310
2016-10-13 19:01:00,117.14,117.21,117.14,117.2038,39737
2016-10-13 19:02:00,117.17,117.1788,117.13,117.13,47727
2016-10-13 19:03:00,117.13,117.18,117.12,117.1738,40988
2016-10-13 19:04:00,117.1327,117.14,117.09,117.1234,46975
2016-10-13 19:05:00,117.1599,117.18,117.13,117.14,84606
2016-10-13 19:06:00,117.168,117.1834,117.16,117.16,48066
